ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
27008,JF372584,08/27/2022 03:43:00 PM,083XX S PAXTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0412,004,7,46,01A,1192299,1850064,2022,09/03/2022 04:48:29 PM,41.743554722,-87.570976224,"(41.743554722, -87.570976224)"
12782855,JF343411,08/03/2022 12:00:00 PM,033XX N CLAREMONT AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1921,019,32,5,05,1160118,1922025,2022,09/26/2022 04:46:54 PM,41.941745416,-87.686905118,"(41.941745416, -87.686905118)"
12787766,JF349341,08/07/2022 11:00:00 PM,014XX E 66TH PL,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0321,003,5,42,05,1186860,1861188,2022,09/26/2022 04:46:54 PM,41.774210511,-87.590552872,"(41.774210511, -87.590552872)"
12790466,JF351670,08/10/2022 02:15:00 PM,072XX S MARSHFIELD AVE,031A,ROBBERY,ARMED - HANDGUN,ALLEY,false,false,0735,007,17,67,03,1166596,1856690,2022,09/26/2022 04:46:54 PM,41.762323665,-87.664964904,"(41.762323665, -87.664964904)"
12790687,JF352504,08/10/2022 06:30:00 PM,092XX S UNION AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,2223,022,21,73,05,1173264,1843538,2022,09/26/2022 04:46:54 PM,41.726088094,-87.640913682,"(41.726088094, -87.640913682)"
12793303,JF355917,08/14/2022 12:15:00 AM,0000X N KOSTNER AVE,031A,ROBBERY,ARMED - HANDGUN,ALLEY,false,false,1113,011,28,26,03,1147053,1899842,2022,09/26/2022 04:46:54 PM,41.881133343,-87.735493079,"(41.881133343, -87.735493079)"
12797812,JF361123,08/11/2022 11:59:00 PM,013XX W WILSON AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1913,019,46,3,05,1166469,1930665,2022,09/26/2022 04:46:54 PM,41.965320149,-87.663314347,"(41.965320149, -87.663314347)"
12799576,JF363315,08/20/2022 12:30:00 AM,004XX E 107TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0513,005,9,49,05,1181282,1834110,2022,09/26/2022 04:46:54 PM,41.70003572,-87.611832732,"(41.70003572, -87.611832732)"
12800419,JF363390,08/20/2022 04:43:00 AM,035XX N PULASKI RD,031A,ROBBERY,ARMED - HANDGUN,CONVENIENCE STORE,false,false,1732,017,30,21,03,1149094,1923473,2022,09/26/2022 04:46:54 PM,41.94593982,-87.727385537,"(41.94593982, -87.727385537)"
12801962,JF366042,08/22/2022 03:00:00 AM,0000X W HUBBARD ST,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,false,false,1831,018,42,8,03,1176165,1903315,2022,09/26/2022 04:46:54 PM,41.890057206,-87.628491342,"(41.890057206, -87.628491342)"
12806505,JF371405,08/26/2022 02:24:00 PM,023XX N SOUTHPORT AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1811,018,2,7,05,1166594,1915681,2022,09/26/2022 04:46:54 PM,41.92420067,-87.663285419,"(41.92420067, -87.663285419)"
12808824,JF374295,08/29/2022 03:14:00 AM,035XX N PULASKI RD,0330,ROBBERY,AGGRAVATED,SMALL RETAIL STORE,false,false,1732,017,30,21,03,1149094,1923473,2022,09/26/2022 04:46:54 PM,41.94593982,-87.727385537,"(41.94593982, -87.727385537)"
