publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2022p704404,earthquake,2022-09-18T15:06:33.175Z,2022-09-18T15:08:48.449Z,173.915863,-40.25808334,2.399138673,120.5094681,M,,LOCSAT,preliminary,manual,iasp91,17,14,6,0.54307127,148.7876587,0.4703322486,0
2022p704281,earthquake,2022-09-18T14:01:22.226Z,2022-09-18T14:04:01.586Z,174.3212585,-41.55101013,2.589733673,18.32359123,M,,LOCSAT,preliminary,manual,iasp91,41,33,17,0.2136024535,110.3165512,0.6070012076,0
2022p704268,earthquake,2022-09-18T13:54:18.413Z,2022-09-18T14:34:36.658Z,176.7711945,-39.72750092,1.683191633,34.8039093,MLv,,LOCSAT,confirmed,manual,iasp91,19,12,4,0.1012172103,117.7785492,0.6135410811,0.2666305849
2022p704161,earthquake,2022-09-18T12:57:00.358Z,2022-09-18T13:04:15.042Z,176.5328064,-38.5725441,1.983184985,46.20980072,M,,LOCSAT,preliminary,manual,iasp91,33,26,16,0.1491467804,82.51968384,0.5648847731,0
2022p704143,earthquake,2022-09-18T12:47:55.096Z,2022-09-18T12:51:06.028Z,177.4228058,-37.05888367,2.501361336,5,M,operator assigned,LOCSAT,preliminary,manual,iasp91,19,16,7,0.7526356578,203.3421173,0.9931152778,0
2022p704127,earthquake,2022-09-18T12:39:13.066Z,2022-09-18T13:20:47.394Z,174.2450562,-41.74018478,1.692379159,8.186607361,M,,LOCSAT,confirmed,manual,iasp91,24,17,5,0.1181275174,140.0518112,0.5081732552,0
2022p704114,earthquake,2022-09-18T12:32:11.056Z,2022-09-18T12:40:05.072Z,179.5453491,-36.81002426,2.704878441,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,14,5,1.241935968,301.9693146,0.5915585104,0.1901798923
2022p704043,earthquake,2022-09-18T11:54:07.275Z,2022-09-18T12:00:00.576Z,178.3043365,-35.94665146,2.855621361,205.5080872,M,,LOCSAT,preliminary,manual,iasp91,17,14,5,1.612498641,331.9085693,0.4764188307,0
2022p704031,earthquake,2022-09-18T11:47:58.665Z,2022-09-18T12:17:44.215Z,175.913559,-38.84466934,1.077049753,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,13,9,3,0.1125243902,112.1178427,0.3363983232,0.3685502665
2022p703937,earthquake,2022-09-18T10:57:53.449Z,2022-09-18T11:51:31.997Z,178.0805511,-36.44644928,3.687561584,120.9072495,M,,LOCSAT,confirmed,manual,iasp91,23,16,35,1.12833178,254.5548553,0.3452773295,0
2022p703927,earthquake,2022-09-18T10:52:44.183Z,2022-09-18T12:47:47.096Z,174.7582245,-40.17129517,1.54370336,12,ML,operator assigned,LOCSAT,confirmed,manual,iasp91,21,15,2,0.4279673696,134.9035702,0.3555983749,0.01009111903
2022p703820,earthquake,2022-09-18T09:55:43.007Z,2022-09-18T12:55:20.495Z,176.1446838,-40.03998566,1.122106612,19.92656517,MLv,,LOCSAT,confirmed,manual,iasp91,21,14,5,0.133365795,90.99423218,0.4532602323,0.2369494865
2022p703686,earthquake,2022-09-18T08:43:01.298Z,2022-09-18T08:56:50.898Z,178.884903,-35.53557587,3.463610823,179.1723175,M,,LOCSAT,confirmed,manual,iasp91,16,12,5,2.075584412,342.1856232,0.3534704241,0
2022p703645,earthquake,2022-09-18T08:22:29.184Z,2022-09-18T08:43:02.883Z,176.2906952,-40.69385147,1.409523999,25.42534637,MLv,,LOCSAT,confirmed,manual,iasp91,19,14,6,0.03665915132,166.3356285,0.3287748468,0.1683946875
2022p703582,earthquake,2022-09-18T07:49:00.196Z,2022-09-18T08:08:16.048Z,174.5554962,-40.61604309,1.701293427,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,12,4,0.3636930287,132.3495731,0.4461877,0
2022p703513,earthquake,2022-09-18T07:12:02.370Z,2022-09-18T07:31:54.342Z,175.112793,-41.37009048,1.294010055,5.8315382,M,,LOCSAT,confirmed,manual,iasp91,19,12,3,0.1125300527,97.40141296,0.1588223832,0
2022p703462,earthquake,2022-09-18T06:44:57.259Z,2022-09-18T06:56:01.771Z,176.615799,-39.86564636,1.487404585,23.4823513,M,,LOCSAT,confirmed,manual,iasp91,14,10,4,0.2131428123,62.05697918,0.1840543372,0
2022p703344,earthquake,2022-09-18T05:41:52.658Z,2022-09-18T05:53:02.330Z,175.4420624,-39.34158707,0.6491919397,13.26124191,M,,LOCSAT,confirmed,manual,iasp91,16,13,2,0.04825988412,108.3353577,0.1911386578,0
